Model,CV Accuracy Mean,CV Accuracy SD,CV Balanced Accuracy,CV Macro F1
RBF SVM + PCA,0.9805144212156407,0.007170741998928871,0.9805384054004744,0.9804946873084281
Random Forest,0.973548199767712,0.011997239244815104,0.9734694398832329,0.9734484686231536
Logistic Regression + PCA,0.961033681765389,0.011302664453005566,0.9609943440977924,0.9609224274285759
