mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.14623870849609374,0.0022515861452529324,0.01164994239807129,0.00020898579701158216,2,scale,0.99,"{'model__C': 2, 'model__gamma': 'scale', 'pca__n_components': 0.99}",0.9895308804927678,0.9757904607795259,0.9860200578487822,0.9792977069686597,0.9858867613543241,0.983305173488812,0.005006502086441633,1,0.999134199134199,0.9973872726012465,0.9982566001083087,0.9991377868623991,0.9982491038564347,0.9984329925125175,0.0006552686857834839
0.12439560890197754,0.0009995384942129324,0.01092233657836914,0.0001291699494673016,10,scale,0.9,"{'model__C': 10, 'model__gamma': 'scale', 'pca__n_components': 0.9}",0.9896477711999567,0.9652877147366989,0.9861400246272127,0.982685589298681,0.9894671984940832,0.9826456596713264,0.009045146664851615,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.12838315963745117,0.0040092203074049175,0.011112737655639648,0.00011454124821083866,5,scale,0.9,"{'model__C': 5, 'model__gamma': 'scale', 'pca__n_components': 0.9}",0.9896477711999567,0.9652877147366989,0.9861400246272127,0.979177956580522,0.9894671984940832,0.9819441331276947,0.009150257524650509,3,1.0,0.999134199134199,1.0,1.0,0.9991377868623991,0.9996543971993196,0.00042327677816832437
0.11963286399841308,0.000727874680373316,0.01120309829711914,0.0002669191731452013,2,0.01,0.99,"{'model__C': 2, 'model__gamma': 0.01, 'pca__n_components': 0.99}",0.9895308804927678,0.9757582264377611,0.9860200578487822,0.9722702317193075,0.9859595657759241,0.9819077924549087,0.006665415277072416,4,0.999134199134199,0.9973872726012465,0.9973905867913961,0.9973718126548867,0.9973794391407635,0.9977326620644984,0.0007007987245717886
0.1335681438446045,0.0024103670823558366,0.011148309707641602,3.9826779964146154e-05,2,scale,0.9,"{'model__C': 2, 'model__gamma': 'scale', 'pca__n_components': 0.9}",0.9895308804927678,0.972249087671187,0.9860200578487822,0.9720178934131993,0.9894671984940832,0.9818570235840038,0.008040579722019246,5,0.999134199134199,0.9973872726012465,0.997390799242508,0.9982680905532939,0.9982491038564347,0.9980858930775364,0.0006526875632862272
0.13905901908874513,0.006754318403127085,0.011358642578125,0.00028716840791460316,2,scale,0.95,"{'model__C': 2, 'model__gamma': 'scale', 'pca__n_components': 0.95}",0.9895308804927678,0.9757904607795259,0.9860200578487822,0.9687777670359417,0.9858867613543241,0.9812011855022684,0.007722399093635078,6,0.999134199134199,0.9973872726012465,0.9982566001083087,0.9982680905532939,0.9982491038564347,0.9982590532506966,0.0005524614917546414
0.11084985733032227,0.0016765439333322604,0.011078548431396485,0.0010809474788690944,2,0.01,0.95,"{'model__C': 2, 'model__gamma': 0.01, 'pca__n_components': 0.95}",0.9825738327008743,0.9757582264377611,0.9860200578487822,0.9720178934131993,0.9859595657759241,0.9804659152353082,0.005639209501272929,7,0.999134199134199,0.9973872726012465,0.9973905867913961,0.9965097436893695,0.9974023377191434,0.9975648279870709,0.0008560861719676034
0.10609478950500488,0.0009948456987545048,0.011335992813110351,0.0008375359513259985,2,0.01,0.9,"{'model__C': 2, 'model__gamma': 0.01, 'pca__n_components': 0.9}",0.9825123112760382,0.9792260427744299,0.982449768489019,0.9682444446397506,0.9894671984940832,0.9803799531346641,0.006928364751022642,8,0.9965249338919214,0.9956518580500079,0.9956589378274522,0.9965326422677494,0.9965327400504451,0.9961802224175151,0.00042853260357678645
0.1309439182281494,0.001798323352863145,0.011590528488159179,0.0010650785035730597,10,scale,0.95,"{'model__C': 10, 'model__gamma': 'scale', 'pca__n_components': 0.95}",0.9861902451194797,0.972249087671187,0.9825707566296327,0.9722865389657663,0.9858867613543241,0.979836677948078,0.006309082914705947,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1388458251953125,0.008049957720024934,0.015978336334228516,0.004723452842031656,5,scale,0.95,"{'model__C': 5, 'model__gamma': 'scale', 'pca__n_components': 0.95}",0.9861902451194797,0.972249087671187,0.9825707566296327,0.9722865389657663,0.9858867613543241,0.979836677948078,0.006309082914705947,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10602006912231446,0.003894208422427099,0.010185670852661134,0.00024460739538883494,10,0.01,0.95,"{'model__C': 10, 'model__gamma': 0.01, 'pca__n_components': 0.95}",0.982666305154862,0.9757129457020108,0.9825707566296327,0.9756713452245458,0.9824380308137114,0.9798118767049526,0.003364553519399636,11,1.0,1.0,1.0,1.0,0.9991377868623991,0.9998275573724799,0.0003448852550403725
0.11768293380737305,0.002261876916689349,0.010921573638916016,0.00021501314498206374,5,0.01,0.99,"{'model__C': 5, 'model__gamma': 0.01, 'pca__n_components': 0.99}",0.9826836377584014,0.9757129457020108,0.9825707566296327,0.9722702317193075,0.9824380308137114,0.9791351205246128,0.00433918806248591,12,1.0,0.9982683498003521,0.9991186690738261,0.9991377868623991,0.9991148882840191,0.9991279388041192,0.0005476745772783154
0.15890936851501464,0.011410594428656272,0.011980867385864258,0.0010155872710635148,5,scale,0.99,"{'model__C': 5, 'model__gamma': 'scale', 'pca__n_components': 0.99}",0.9826836377584014,0.972249087671187,0.9860200578487822,0.9722823236828588,0.9823652263921112,0.9791200666706681,0.005741168179938697,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1416684627532959,0.0026179613177211396,0.011950111389160157,0.0008939518482137993,10,scale,0.99,"{'model__C': 10, 'model__gamma': 'scale', 'pca__n_components': 0.99}",0.9826836377584014,0.972249087671187,0.9860200578487822,0.9722823236828588,0.9823652263921112,0.9791200666706681,0.005741168179938697,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10639991760253906,0.0015197914900774382,0.010195207595825196,0.0001709409936431173,5,0.01,0.95,"{'model__C': 5, 'model__gamma': 0.01, 'pca__n_components': 0.95}",0.9791640509746417,0.9757129457020108,0.9825707566296327,0.9720999166531173,0.9859595657759241,0.9791014471470654,0.004890341295929744,15,1.0,0.9973872726012465,0.9982566001083087,0.9991148882840191,0.9982491038564347,0.9986015729700017,0.0008873394961024748
0.11561026573181152,0.0021465971327232726,0.010596084594726562,0.00029112388188952897,10,0.01,0.99,"{'model__C': 10, 'model__gamma': 0.01, 'pca__n_components': 0.99}",0.9826836377584014,0.9757129457020108,0.9825707566296327,0.9687583837182411,0.9789983066960211,0.9777448061008613,0.005179524385674987,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10253949165344238,0.003985555839467006,0.010454893112182617,0.0009133012599876996,5,0.01,0.9,"{'model__C': 5, 'model__gamma': 0.01, 'pca__n_components': 0.9}",0.9825549068401968,0.9688552988568674,0.9825707566296327,0.9650481964435024,0.9859595657759241,0.9769977449092245,0.008382671147788814,17,0.999134199134199,0.9973872726012465,0.9982566001083087,0.9982451919749142,0.9982491038564347,0.9982544735350206,0.0005524625041590668
0.09958624839782715,0.0019039548124806858,0.009798431396484375,0.0001628165067693349,10,0.01,0.9,"{'model__C': 10, 'model__gamma': 0.01, 'pca__n_components': 0.9}",0.9791640509746417,0.9618426216213652,0.9826917487651439,0.9756713452245458,0.9824380308137114,0.9763615594798816,0.007695774309243159,18,1.0,0.999134199134199,0.999141567652206,1.0,0.9991377868623991,0.9994827107297608,0.00042237134942834547
0.0950803279876709,0.0023834664852355573,0.010823392868041992,0.0009759590796428191,10,0.001,0.99,"{'model__C': 10, 'model__gamma': 0.001, 'pca__n_components': 0.99}",0.9859514687100892,0.9757142962492402,0.9756137088377391,0.9511233590093143,0.9894704982795972,0.975574666217196,0.013406413567611929,19,0.9947692716227303,0.9921615149248082,0.9912856465833327,0.991266960814038,0.9921188280916036,0.9923204444073026,0.0012840012981264455
0.09084382057189941,0.0033003190778301793,0.010395145416259766,0.00045783215248955915,10,0.001,0.95,"{'model__C': 10, 'model__gamma': 0.001, 'pca__n_components': 0.95}",0.9789255022744209,0.9792311216163394,0.9756137088377391,0.9511233590093143,0.9824452156372547,0.9734677814750137,0.011379590059558515,20,0.9912343520178093,0.9886897781183362,0.9895368688258724,0.9903785983284695,0.9895148401277585,0.9898708874836493,0.0008660442660823177
0.11600098609924317,0.004772821468642288,0.011820840835571288,0.00035864565661662646,5,0.001,0.99,"{'model__C': 5, 'model__gamma': 0.001, 'pca__n_components': 0.99}",0.9792424475459942,0.978961522218037,0.9685218845157632,0.9406584119651269,0.9825750817722272,0.9699918696034298,0.015407645387658903,21,0.9824970260713615,0.9861062348501216,0.9816142951964396,0.985164024749076,0.9868708920585958,0.9844504945851188,0.002047876522460655
0.0917776107788086,0.0014902940521818156,0.010702991485595703,0.00036094363735834586,10,0.001,0.9,"{'model__C': 10, 'model__gamma': 0.001, 'pca__n_components': 0.9}",0.9648813095913897,0.9717581437916021,0.9685218845157632,0.9475244908171024,0.9787483559331355,0.9662868369297986,0.010432844589177865,22,0.9860414750387253,0.9886915183901793,0.9869103258771348,0.9834120002697444,0.9877821721764779,0.9865674983504522,0.0018076666179180475
0.111607027053833,0.0036949722957747774,0.011967992782592774,0.0004087101881179085,5,0.001,0.95,"{'model__C': 5, 'model__gamma': 0.001, 'pca__n_components': 0.95}",0.9619786022625236,0.9715383633001109,0.9613037040943159,0.9371859708188108,0.9789959144181053,0.9622005109787732,0.014112843711639183,23,0.9798871510448194,0.9791560182280037,0.977289808075996,0.984293137061756,0.9825685281976089,0.9806389285216367,0.0024922838938296844
0.11916289329528809,0.007468111444178816,0.012519359588623047,0.00028958564413681683,5,0.001,0.9,"{'model__C': 5, 'model__gamma': 0.001, 'pca__n_components': 0.9}",0.9548932037335248,0.9615586290705849,0.9649504559443345,0.9405692401054262,0.9790619886947057,0.9602067035097152,0.012599332665794468,24,0.9790193584780253,0.9730710769064176,0.9738194843527024,0.9790052430282385,0.9755503485463543,0.9760931022623476,0.0025155554665848485
0.146038818359375,0.0023847073385085825,0.014304590225219727,0.00016732020878409683,2,0.001,0.95,"{'model__C': 2, 'model__gamma': 0.001, 'pca__n_components': 0.95}",0.9547750871603181,0.9542746783493813,0.9436899317999897,0.9444645218670873,0.968884286988658,0.9532177012330869,0.009125580531352448,25,0.9703458095656909,0.96435002906946,0.9642488153688149,0.9676845943404141,0.9616879762568331,0.9656634449202425,0.0030179520443577136
0.1481532096862793,0.0007228870442146229,0.014541530609130859,0.00016337770173027963,2,0.001,0.99,"{'model__C': 2, 'model__gamma': 0.001, 'pca__n_components': 0.99}",0.9544650997429143,0.9542746783493813,0.9435693443329873,0.9442222827356753,0.9687736542887423,0.9530610118899402,0.00914927829066794,26,0.9720205436624262,0.9704149767554158,0.9685775609140792,0.9702770922580262,0.9659939814880012,0.9694568310155898,0.002045870820079791
0.15073819160461427,0.00392316898766899,0.015349721908569336,0.0004608561840414626,2,0.001,0.9,"{'model__C': 2, 'model__gamma': 0.001, 'pca__n_components': 0.9}",0.9511378160163565,0.9475900950246517,0.9435566440351228,0.9340320331704255,0.961913092524154,0.947645936154142,0.009141211720280566,27,0.9616307538103758,0.9599394813149906,0.9558316968232236,0.9606796895689186,0.9608223645474947,0.9597807972130006,0.002046254330465617
